ksize	tarr0	tarr1	tarr2
9	0.296030	0.055372	0.708022	0.000000
19	0.274554	0.113675	0.747362	0.000000
29	0.285856	0.170952	0.740355	0.000000
39	0.310973	0.235344	0.756951	0.000000
49	0.354951	0.290312	0.781535	0.000000
59	0.368037	0.381284	0.940606	0.000000
69	0.363817	0.440841	0.954818	0.000000
79	0.414067	0.632825	0.942036	0.000000
89	0.383304	0.673138	0.954350	0.000000
99	0.397298	0.689988	0.936340	0.000000
109	0.363329	0.741401	0.761976	0.000000
119	0.631019	0.871180	0.730705	0.000000
129	0.379362	1.004812	0.824169	0.000000
139	0.479867	0.984446	0.843419	0.000000
149	0.470311	1.055304	0.790701	0.000000
159	0.442079	1.190692	0.783548	0.000000
169	0.410148	1.298952	0.699564	0.000000
179	0.420981	1.197134	0.410961	0.000000
189	0.482653	1.408561	0.422071	0.000000
199	0.852428	1.829612	0.424416	0.000000
